,head,variable,value
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi557
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1148
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi388
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1027
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi751
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1148
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi751
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1309
1,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi941
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi173
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1148
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1611
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi528
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1309
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1027
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi751
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1416
2,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi941
3,Course1_W5-S1-L1_Opening_Comments_0-25,concept_vocab_index,
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi401
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1148
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi528
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1309
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi751
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1416
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi136
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi233
4,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi941
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi557
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi401
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1148
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi388
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi528
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi757
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi378
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1416
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi751
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi136
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi1063
5,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi758
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi173
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1148
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1309
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi751
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1416
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi941
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi557
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi401
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1148
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi173
